ID,Player,Location,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
7361,RR Patel (KENYA),N,2010-2014,15,15,3,197,38,16.41,351,56.12,0,0,1
7362,RR Patel (KENYA),T,2008-2014,39,35,4,621,92,20.03,978,63.49,0,2,3
7363,RR Powar (IND),H,2006-2007,10,6,2,84,54,21,135,62.22,0,1,0
7364,RR Powar (IND),A,2004-2007,17,11,3,73,18*,9.12,116,62.93,0,0,0
7365,RR Powar (IND),N,2006-2007,4,2,0,6,5,3,9,66.66,0,0,0
7366,RR Powar (IND),T,2004-2007,31,19,5,163,54,11.64,260,62.69,0,1,0
7367,RR Ramdass (WI),A,2005-2005,1,1,0,1,1,1,9,11.11,0,0,0
7368,RR Ramdass (WI),T,2005-2005,1,1,0,1,1,1,9,11.11,0,0,0
7369,RR Rossouw (SA),H,2015-2016,16,16,1,750,132,50,755,99.33,3,3,1
7370,RR Rossouw (SA),A,2014-2016,14,14,1,311,61,23.92,420,74.04,0,2,4
7371,RR Rossouw (SA),N,2015-2016,6,5,1,178,61*,44.5,138,128.98,0,2,0
7372,RR Rossouw (SA),T,2014-2016,36,35,3,1239,132,38.71,1313,94.36,3,7,5
7373,RR Sarwan (WI),H,2002-2013,84,80,15,2813,120*,43.27,3747,75.07,4,18,2
7374,RR Sarwan (WI),A,2000-2013,54,49,8,1712,102*,41.75,2240,76.42,1,12,5
7375,RR Sarwan (WI),N,2001-2013,43,40,10,1279,87,42.63,1676,76.31,0,8,1
7376,RR Sarwan (WI),T,2000-2013,181,169,33,5804,120*,42.67,7663,75.74,5,38,8
7377,RR Singh (IND),H,1996-2001,28,21,7,390,51,27.85,488,79.91,0,1,1
7378,RR Singh (IND),A,1989-2000,41,36,7,739,100,25.48,942,78.45,1,2,1
7379,RR Singh (IND),N,1997-2000,67,56,9,1207,82,25.68,1714,70.42,0,6,3
7380,RR Singh (IND),T,1989-2001,136,113,23,2336,100,25.95,3144,74.3,1,9,5
7381,RR Watson (SCOT),H,2006-2010,13,13,2,289,80,26.27,360,80.27,0,2,3
7382,RR Watson (SCOT),A,2006-2008,7,7,0,209,83,29.85,287,72.82,0,2,1
7383,RR Watson (SCOT),N,2007-2009,15,15,2,458,123*,35.23,639,71.67,1,2,0
7384,RR Watson (SCOT),T,2006-2010,35,35,4,956,123*,30.83,1286,74.33,1,6,4
7385,RS Bopara (ENG),H,2007-2014,54,48,9,1294,96,33.17,1567,82.57,0,6,2
7386,RS Bopara (ENG),A,2007-2015,49,48,9,1026,101*,26.3,1397,73.44,1,4,1
7387,RS Bopara (ENG),N,2007-2015,17,13,3,375,60,37.5,498,75.3,0,4,1
7388,RS Bopara (ENG),T,2007-2015,120,109,21,2695,101*,30.62,3462,77.84,1,14,4
7389,RS Gabriel (WI),A,1984-1984,6,6,0,93,41,15.5,180,51.66,0,0,1
7390,RS Gabriel (WI),N,1984-1984,5,5,0,74,29,14.8,180,41.11,0,0,1
7391,RS Gabriel (WI),T,1984-1984,11,11,0,167,41,15.18,360,46.38,0,0,2
7392,RS Gavaskar (IND),A,2004-2004,5,5,2,43,20,14.33,79,54.43,0,0,0
7393,RS Gavaskar (IND),N,2004-2004,6,5,0,108,54,21.6,155,69.67,0,1,0
7394,RS Gavaskar (IND),T,2004-2004,11,10,2,151,54,18.87,234,64.52,0,1,0
7395,RS Ghai (IND),H,1984-1986,4,-,-,-,-,-,-,-,-,-,-
7396,RS Ghai (IND),A,1986-1986,1,1,0,1,1,1,3,33.33,0,0,0
7397,RS Ghai (IND),N,1985-1985,1,-,-,-,-,-,-,-,-,-,-
7398,RS Ghai (IND),T,1984-1986,6,1,0,1,1,1,3,33.33,0,0,0
7399,RS Haire (IRE),A,2008-2008,1,1,0,54,54,54,63,85.71,0,1,0
7400,RS Haire (IRE),N,2008-2008,1,1,0,2,2,2,9,22.22,0,0,0
7401,RS Haire (IRE),T,2008-2008,2,2,0,56,54,28,72,77.77,0,1,0
7402,RS Higgins (ZIM),H,2006-2006,4,4,1,6,5,2,30,20,0,0,1
7403,RS Higgins (ZIM),A,2006-2006,4,3,1,9,7*,4.5,31,29.03,0,0,1
7404,RS Higgins (ZIM),N,2006-2006,3,1,0,0,0,0,2,0,0,0,1
7405,RS Higgins (ZIM),T,2006-2006,11,8,2,15,7*,2.5,63,23.8,0,0,3
7406,RS Kalpage (SL),H,1992-1998,33,20,11,265,44*,29.44,364,72.8,0,0,1
7407,RS Kalpage (SL),A,1992-1999,23,22,4,233,51,12.94,353,66,0,1,1
7408,RS Kalpage (SL),N,1992-1999,30,27,13,346,43*,24.71,603,57.37,0,0,0
7409,RS Kalpage (SL),T,1992-1999,86,69,28,844,51,20.58,1320,63.93,0,1,2
7410,RS Kaluwitharana (SL),H,1992-2004,45,43,7,865,102*,24.02,1216,71.13,1,4,5
7411,RS Kaluwitharana (SL),A,1990-2003,56,54,1,1532,100*,28.9,1815,84.4,1,13,6
7412,RS Kaluwitharana (SL),N,1993-2002,88,84,6,1314,75,16.84,1745,75.3,0,6,13
7413,RS Kaluwitharana (SL),T,1990-2004,189,181,14,3711,102*,22.22,4776,77.7,2,23,24
7414,RS Madugalle (SL),H,1982-1985,14,12,1,190,50*,17.27,270,70.37,0,1,1
7415,RS Madugalle (SL),A,1982-1988,27,24,3,400,73,19.04,642,62.3,0,1,3
7416,RS Madugalle (SL),N,1979-1988,22,20,1,360,60,18.94,662,54.38,0,1,0
7417,RS Madugalle (SL),T,1979-1988,63,56,5,950,73,18.62,1574,60.35,0,3,4
7418,RS Mahanama (SL),H,1986-1998,49,41,9,1236,107,38.62,1961,63.02,1,9,3
7419,RS Mahanama (SL),A,1986-1999,61,60,6,1618,119*,29.96,2589,62.49,2,10,2
7420,RS Mahanama (SL),N,1986-1999,103,97,8,2308,101,25.93,3971,58.12,1,16,10
7421,RS Mahanama (SL),T,1986-1999,213,198,23,5162,119*,29.49,8521,60.57,4,35,15
7422,RS Morton (WI),H,2005-2009,16,15,2,501,109,38.53,749,66.88,1,3,2
7423,RS Morton (WI),A,2006-2010,28,26,3,787,110*,34.21,1175,66.97,1,5,3
7424,RS Morton (WI),N,2002-2007,12,10,1,231,90*,25.66,365,63.28,0,2,2
7425,RS Morton (WI),T,2002-2010,56,51,6,1519,110*,33.75,2289,66.36,2,10,7
7426,RS Sodhi (IND),H,2000-2002,5,5,2,71,53*,23.66,108,65.74,0,1,0
7427,RS Sodhi (IND),A,2001-2001,5,4,0,78,30,19.5,114,68.42,0,0,0
7428,RS Sodhi (IND),N,2001-2001,8,5,1,131,67,32.75,159,82.38,0,1,0
7429,RS Sodhi (IND),T,2000-2002,18,14,3,280,67,25.45,381,73.49,0,2,0
7430,RSA Jayasekera (SL),H,1982-1982,1,1,0,17,17,17,42,40.47,0,0,0
7431,RSA Jayasekera (SL),A,1982-1982,1,-,-,-,-,-,-,-,-,-,-
7432,RSA Jayasekera (SL),T,1982-1982,2,1,0,17,17,17,42,40.47,0,0,0
7433,RT Crandon (WI),N,2009-2009,1,1,0,5,5,5,9,55.55,0,0,0
7434,RT Crandon (WI),T,2009-2009,1,1,0,5,5,5,9,55.55,0,0,0
7435,RT Hart (NZ),A,1985-1985,1,1,0,3,3,3,29,10.34,0,0,0
7436,RT Hart (NZ),T,1985-1985,1,1,0,3,3,3,29,10.34,0,0,0
7437,RT Latham (NZ),H,1992-1993,17,17,0,252,60,14.82,463,54.42,0,1,2
7438,RT Latham (NZ),A,1990-1994,11,11,3,259,45,32.37,422,61.37,0,0,1
7439,RT Latham (NZ),N,1990-1994,5,5,1,72,27,18,123,58.53,0,0,0
7440,RT Latham (NZ),T,1990-1994,33,33,4,583,60,20.1,1008,57.83,0,1,3
7441,RT Lyons (SCOT),H,2006-2010,8,4,2,10,6,5,26,38.46,0,0,0
7442,RT Lyons (SCOT),A,2006-2010,7,6,4,79,28,39.5,119,66.38,0,0,0
7443,RT Lyons (SCOT),N,2007-2010,10,4,4,1,1*,-,2,50,0,0,0
7444,RT Lyons (SCOT),T,2006-2010,25,14,10,90,28,22.5,147,61.22,0,0,0
7445,RT Ponting (AUS),H,1995-2012,153,150,12,5406,134*,39.17,6812,79.35,13,32,10
7446,RT Ponting (AUS),A,1995-2011,132,129,16,5090,164,45.04,6188,82.25,10,32,6
7447,RT Ponting (AUS/ICC),N,1995-2011,90,86,11,3208,145,42.77,4046,79.28,7,18,4
7448,RT Ponting (AUS/ICC),T,1995-2012,375,365,39,13704,164,42.03,17046,80.39,30,82,20
7449,RT Robinson (ENG),H,1985-1988,3,3,0,46,26,15.33,99,46.46,0,0,0
7450,RT Robinson (ENG),A,1984-1988,14,14,0,303,55,21.64,553,54.79,0,1,1
7451,RT Robinson (ENG),N,1985-1987,9,9,0,248,83,27.55,374,66.31,0,2,1
7452,RT Robinson (ENG),T,1984-1988,26,26,0,597,83,22.96,1026,58.18,0,3,2
7453,RTM Mendis (SL),H,2021-2022,2,2,1,41,26,41,39,105.12,0,0,0
7454,RTM Mendis (SL),A,2021-2021,2,2,1,9,8*,9,11,81.81,0,0,0
7455,RTM Mendis (SL),T,2021-2022,4,4,2,50,26,25,50,100,0,0,0
7456,Rubel Hossain (BAN),H,2009-2021,58,29,15,100,17,7.14,156,64.1,0,0,6
7457,Rubel Hossain (BAN),A,2009-2021,29,13,5,31,8,3.87,76,40.78,0,0,1
7458,Rubel Hossain (BAN),N,2015-2019,17,11,4,13,9,1.85,45,28.88,0,0,4
7459,Rubel Hossain (BAN),T,2009-2021,104,53,24,144,17,4.96,277,51.98,0,0,11
7460,Rumman Raees (PAK),A,2017-2018,6,3,1,27,16,13.5,23,117.39,0,0,0
7461,Rumman Raees (PAK),N,2017-2017,3,1,0,0,0,0,1,0,0,0,1
7462,Rumman Raees (PAK),T,2017-2018,9,4,1,27,16,9,24,112.5,0,0,1
7463,RV Uthappa (IND),H,2006-2014,19,17,3,476,86,34,417,114.14,0,3,2
7464,RV Uthappa (IND),A,2006-2015,16,15,1,358,55,25.57,444,80.63,0,3,2
7465,RV Uthappa (IND),N,2006-2008,11,10,2,100,20,12.5,170,58.82,0,0,0
7466,RV Uthappa (IND),T,2006-2015,46,42,6,934,86,25.94,1031,90.59,0,6,4
7467,RW Ali (KENYA),H,1996-1997,3,1,1,1,1*,-,9,11.11,0,0,0
7468,RW Ali (KENYA),A,1996-1996,2,-,-,-,-,-,-,-,-,-,-
7469,RW Ali (KENYA),N,1996-1996,4,2,2,6,6*,-,19,31.57,0,0,0
7470,RW Ali (KENYA),T,1996-1997,9,3,3,7,6*,-,28,25,0,0,0
7471,RW Anderson (NZ),A,1976-1978,2,2,1,16,12,16,46,34.78,0,0,0
7472,RW Anderson (NZ),T,1976-1978,2,2,1,16,12,16,46,34.78,0,0,0
7473,RW Chakabva (ZIM),H,2013-2022,23,20,1,524,102,27.57,669,78.32,1,3,1
7474,RW Chakabva (ZIM),A,2008-2022,30,29,2,585,72,21.66,938,62.36,0,1,0
7475,RW Chakabva (ZIM),N,2011-2015,8,8,0,79,35,9.87,144,54.86,0,0,2
7476,RW Chakabva (ZIM),T,2008-2022,61,57,3,1188,102,22,1751,67.84,1,4,3
7477,RW Marsh (AUS),H,1971-1984,63,52,9,859,66,19.97,1066,80.58,0,2,5
7478,RW Marsh (AUS),A,1972-1982,19,14,2,151,42,12.58,175,86.28,0,0,1
7479,RW Marsh (AUS),N,1975-1983,10,10,4,215,52*,35.83,248,86.69,0,2,1
7480,RW Marsh (AUS),T,1971-1984,92,76,15,1225,66,20.08,1489,82.26,0,4,7
7481,RW Price (ZIM),H,2003-2011,42,20,4,125,46,7.81,218,57.33,0,0,5
7482,RW Price (ZIM),A,2003-2012,41,28,8,199,26*,9.95,341,58.35,0,0,4
7483,RW Price (ZIM),N,2002-2011,19,11,5,82,18*,13.66,142,57.74,0,0,1
7484,RW Price (ZIM),T,2002-2012,102,59,17,406,46,9.66,701,57.91,0,0,10
7485,RW Sims (ZIM),H,2002-2002,2,1,1,7,7*,-,7,100,0,0,0
7486,RW Sims (ZIM),N,2003-2003,1,1,0,24,24,24,60,40,0,0,0
7487,RW Sims (ZIM),T,2002-2003,3,2,1,31,24,31,67,46.26,0,0,0
7488,RW Staple (USA),N,2004-2004,2,2,0,4,4,2,11,36.36,0,0,1
7489,RW Staple (USA),T,2004-2004,2,2,0,4,4,2,11,36.36,0,0,1
7490,RW Taylor (ENG),H,1973-1982,16,9,4,73,26*,14.6,189,38.62,0,0,2
7491,RW Taylor (ENG),A,1975-1984,10,7,2,52,23*,10.4,113,46.01,0,0,0
7492,RW Taylor (ENG),N,1983-1983,1,1,1,5,5*,-,10,50,0,0,0
7493,RW Taylor (ENG),T,1973-1984,27,17,7,130,26*,13,312,41.66,0,0,2
7494,RW Tolchard (ENG),A,1979-1979,1,-,-,-,-,-,-,-,-,-,-
7495,RW Tolchard (ENG),T,1979-1979,1,-,-,-,-,-,-,-,-,-,-
7496,RWT Key (ENG),H,2003-2004,5,5,0,54,19,10.8,135,40,0,0,1
7497,RWT Key (ENG),T,2003-2004,5,5,0,54,19,10.8,135,40,0,0,1
7498,S Abid Ali (IND),A,1974-1975,3,2,0,23,17,11.5,34,67.64,0,0,0
7499,S Abid Ali (IND),N,1975-1975,2,1,0,70,70,70,98,71.42,0,1,0
7500,S Abid Ali (IND),T,1974-1975,5,3,0,93,70,31,132,70.45,0,1,0
7501,S Abrahams (SA),H,2000-2000,1,1,1,16,16*,-,26,61.53,0,0,0
