ID,Player,Location,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
757,AP Igglesden (ENG),T,1994-1994,4,3,1,20,18,10,31,64.51,0,0,1
758,AP Kuiper (SA),H,1994-1996,8,7,4,199,61*,66.33,185,107.56,0,1,0
759,AP Kuiper (SA),A,1991-1995,10,9,2,229,63*,32.71,321,71.33,0,2,0
760,AP Kuiper (SA),N,1992-1992,7,7,1,111,36,18.5,156,71.15,0,0,0
761,AP Kuiper (SA),T,1991-1996,25,23,7,539,63*,33.68,662,81.41,0,3,0
762,AP Sheahan (AUS),A,1972-1972,3,3,0,75,50,25,124,60.48,0,1,0
763,AP Sheahan (AUS),T,1972-1972,3,3,0,75,50,25,124,60.48,0,1,0
764,AP Weerakkody (SL),N,1994-1994,1,1,0,2,2,2,4,50,0,0,0
765,AP Weerakkody (SL),T,1994-1994,1,1,0,2,2,2,4,50,0,0,0
766,AP Wells (ENG),H,1995-1995,1,1,0,15,15,15,10,150,0,0,0
767,AP Wells (ENG),T,1995-1995,1,1,0,15,15,15,10,150,0,0,0
768,APB Tennekoon (SL),N,1975-1979,4,4,0,137,59,34.25,207,66.18,0,1,1
769,APB Tennekoon (SL),T,1975-1979,4,4,0,137,59,34.25,207,66.18,0,1,1
770,APE Knott (ENG),H,1972-1977,18,12,3,174,50,19.33,207,84.05,0,1,2
771,APE Knott (ENG),A,1971-1975,2,2,1,26,24,26,40,65,0,0,0
772,APE Knott (ENG),T,1971-1977,20,14,4,200,50,20,247,80.97,0,1,2
773,Aqib Ilyas (OMA),H,2020-2021,6,5,1,221,80*,55.25,293,75.42,0,2,0
774,Aqib Ilyas (OMA),A,2019-2023,8,7,1,310,109*,51.66,365,84.93,1,1,0
775,Aqib Ilyas (OMA),N,2019-2020,4,4,0,281,105,70.25,350,80.28,1,2,0
776,Aqib Ilyas (OMA),T,2019-2023,18,16,2,812,109*,58,1008,80.55,2,5,0
777,AR Adams (NZ),H,2002-2007,14,10,3,133,35,19,126,105.55,0,0,0
778,AR Adams (NZ),A,2002-2005,12,10,3,127,45,18.14,132,96.21,0,0,0
779,AR Adams (NZ),N,2001-2005,16,14,4,159,36,15.9,159,100,0,0,1
780,AR Adams (NZ),T,2001-2007,42,34,10,419,45,17.45,417,100.47,0,0,1
781,AR Berenger (UAE),H,2014-2014,4,4,0,152,66,38,193,78.75,0,2,0
782,AR Berenger (UAE),N,2015-2015,6,6,0,53,22,8.83,111,47.74,0,0,0
783,AR Berenger (UAE),T,2014-2015,10,10,0,205,66,20.5,304,67.43,0,2,0
784,AR Border (AUS),H,1979-1994,177,163,22,4068,127*,28.85,5883,69.14,3,23,6
785,AR Border (AUS),A,1979-1994,69,64,15,1778,91*,36.28,2406,73.89,0,13,4
786,AR Border (AUS),N,1979-1990,27,25,2,678,84*,29.47,845,80.23,0,3,1
787,AR Border (AUS),T,1979-1994,273,252,39,6524,127*,30.62,9134,71.42,3,39,11
788,AR Butcher (ENG),H,1980-1980,1,1,0,14,14,14,26,53.84,0,0,0
789,AR Butcher (ENG),T,1980-1980,1,1,0,14,14,14,26,53.84,0,0,0
790,AR Caddick (ENG),H,1993-2001,13,9,3,66,36,11,106,62.26,0,0,1
791,AR Caddick (ENG),A,1994-2003,26,18,8,109,21*,10.9,174,62.64,0,0,4
792,AR Caddick (ENG),N,2000-2003,15,11,7,74,14*,18.5,115,64.34,0,0,1
793,AR Caddick (ENG),T,1993-2003,54,38,18,249,36,12.45,395,63.03,0,0,6
794,AR Cusack (IRE),H,2007-2015,27,20,6,320,45*,22.85,545,58.71,0,0,4
795,AR Cusack (IRE),A,2008-2013,12,11,2,247,71,27.44,323,76.47,0,1,1
796,AR Cusack (IRE),N,2008-2015,20,16,6,178,59*,17.8,291,61.16,0,1,3
797,AR Cusack (IRE),T,2007-2015,59,47,14,745,71,22.57,1159,64.27,0,2,8
798,AR Kapoor (IND),H,1995-2000,9,3,0,6,6,2,8,75,0,0,2
799,AR Kapoor (IND),A,1996-1996,1,-,-,-,-,-,-,-,-,-,-
800,AR Kapoor (IND),N,1995-1996,7,3,0,37,19,12.33,55,67.27,0,0,1
801,AR Kapoor (IND),T,1995-2000,17,6,0,43,19,7.16,63,68.25,0,0,3
802,AR Khurasiya (IND),H,1999-1999,3,3,0,66,57,22,56,117.85,0,1,0
803,AR Khurasiya (IND),A,1999-2001,4,3,0,41,29,13.66,73,56.16,0,0,1
804,AR Khurasiya (IND),N,1999-1999,5,5,0,42,17,8.4,59,71.18,0,0,0
805,AR Khurasiya (IND),T,1999-2001,12,11,0,149,57,13.54,188,79.25,0,1,1
806,AR McBrine (IRE),H,2014-2022,26,18,1,290,79,17.05,398,72.86,0,1,0
807,AR McBrine (IRE),A,2015-2023,26,17,6,302,59,27.45,429,70.39,0,1,2
808,AR McBrine (IRE),N,2015-2021,21,13,5,81,16,10.12,123,65.85,0,0,1
809,AR McBrine (IRE),T,2014-2023,73,48,12,673,79,18.69,950,70.84,0,2,3
810,AR Nurse (WI),H,2017-2019,22,17,6,265,44,24.09,258,102.71,0,0,1
811,AR Nurse (WI),A,2016-2019,17,12,2,126,40,12.6,125,100.8,0,0,1
812,AR Nurse (WI),N,2016-2019,15,11,6,111,26*,22.2,130,85.38,0,0,0
813,AR Nurse (WI),T,2016-2019,54,40,14,502,44,19.3,513,97.85,0,0,2
814,AR Patel (IND),H,2014-2023,24,15,6,215,38,23.88,219,98.17,0,0,0
815,AR Patel (IND),A,2014-2022,25,14,4,196,64*,19.6,170,115.29,0,2,2
816,AR Patel (IND),N,2015-2015,2,2,0,1,1,0.5,6,16.66,0,0,1
817,AR Patel (IND),T,2014-2023,51,31,10,412,64*,19.61,395,104.3,0,2,3
818,AR Pitcher (BMUDA),A,2007-2007,1,1,0,30,30,30,54,55.55,0,0,0
819,AR Pitcher (BMUDA),N,2006-2006,3,3,0,6,3,2,35,17.14,0,0,0
820,AR Pitcher (BMUDA),T,2006-2007,4,4,0,36,30,9,89,40.44,0,0,0
821,AR Tait (NZ),A,1999-1999,3,3,1,18,13*,9,14,128.57,0,0,0
822,AR Tait (NZ),N,1998-1998,2,2,1,17,10*,17,18,94.44,0,0,0
823,AR Tait (NZ),T,1998-1999,5,5,2,35,13*,11.66,32,109.37,0,0,0
824,AR White (IRE),H,2006-2014,22,14,2,163,40,13.58,307,53.09,0,0,1
825,AR White (IRE),A,2006-2012,18,17,1,340,47,21.25,552,61.59,0,0,1
826,AR White (IRE),N,2006-2010,21,15,0,273,79,18.2,376,72.6,0,1,2
827,AR White (IRE),T,2006-2014,61,46,3,776,79,18.04,1235,62.83,0,1,4
828,AR Whittall (ZIM),H,1997-1999,14,8,2,51,29,8.5,105,48.57,0,0,1
829,AR Whittall (ZIM),A,1996-2000,23,13,7,40,9*,6.66,58,68.96,0,0,2
830,AR Whittall (ZIM),N,1997-2000,26,14,4,77,29,7.7,147,52.38,0,0,3
831,AR Whittall (ZIM),T,1996-2000,63,35,13,168,29,7.63,310,54.19,0,0,6
832,Arafat Sunny (BAN),H,2014-2015,15,10,6,45,15,11.25,89,50.56,0,0,1
833,Arafat Sunny (BAN),N,2015-2015,1,1,1,3,3*,-,3,100,0,0,0
834,Arafat Sunny (BAN),T,2014-2015,16,11,7,48,15,12,92,52.17,0,0,1
835,ARC Fraser (ENG),H,1990-1999,9,5,4,26,15*,26,47,55.31,0,0,0
836,ARC Fraser (ENG),A,1989-1998,21,10,4,107,38*,17.83,151,70.86,0,0,0
837,ARC Fraser (ENG),N,1989-1999,12,5,1,8,5,2,10,80,0,0,1
838,ARC Fraser (ENG),T,1989-1999,42,20,9,141,38*,12.81,208,67.78,0,0,1
839,Ariful Haque (BAN),H,2018-2018,1,-,-,-,-,-,-,-,-,-,-
840,Ariful Haque (BAN),T,2018-2018,1,-,-,-,-,-,-,-,-,-,-
841,ARM Opatha (SL),N,1975-1979,5,3,0,29,18,9.66,55,52.72,0,0,1
842,ARM Opatha (SL),T,1975-1979,5,3,0,29,18,9.66,55,52.72,0,0,1
843,Arshad Ali (UAE),A,2004-2004,1,1,0,7,7,7,11,63.63,0,0,0
844,Arshad Ali (UAE),N,2004-2008,3,3,0,47,41,15.66,91,51.64,0,0,1
845,Arshad Ali (UAE),T,2004-2008,4,4,0,54,41,13.5,102,52.94,0,0,1
846,Arshad Ayub (IND),H,1987-1990,18,8,0,50,14,6.25,81,61.72,0,0,1
847,Arshad Ayub (IND),A,1988-1989,4,3,2,7,4*,7,10,70,0,0,0
848,Arshad Ayub (IND),N,1988-1989,10,6,5,59,31*,59,71,83.09,0,0,0
849,Arshad Ayub (IND),T,1987-1990,32,17,7,116,31*,11.6,162,71.6,0,0,1
850,Arshad Khan (PAK),H,1995-2006,9,4,3,26,12*,26,42,61.9,0,0,0
851,Arshad Khan (PAK),A,1997-2005,16,8,7,40,14*,40,54,74.07,0,0,1
852,Arshad Khan (PAK),N,1993-2000,33,17,8,67,20,7.44,121,55.37,0,0,4
853,Arshad Khan (PAK),T,1993-2006,58,29,18,133,20,12.09,217,61.29,0,0,5
854,Arshad Laeeq (UAE),H,1994-1994,2,2,0,35,31,17.5,75,46.66,0,0,0
855,Arshad Laeeq (UAE),A,1996-1996,1,1,0,9,9,9,19,47.36,0,0,0
856,Arshad Laeeq (UAE),N,1996-1996,3,3,1,57,43*,28.5,121,47.1,0,0,1
857,Arshad Laeeq (UAE),T,1994-1996,6,6,1,101,43*,20.2,215,46.97,0,0,1
858,Arshad Pervez (PAK),H,1978-1978,1,1,0,8,8,8,29,27.58,0,0,0
859,Arshad Pervez (PAK),A,1978-1978,1,1,0,3,3,3,18,16.66,0,0,0
860,Arshad Pervez (PAK),T,1978-1978,2,2,0,11,8,5.5,47,23.4,0,0,0
861,Arshdeep Singh (IND),A,2022-2022,3,1,0,9,9,9,9,100,0,0,0
862,Arshdeep Singh (IND),T,2022-2022,3,1,0,9,9,9,9,100,0,0,0
863,Aryan Lakra (UAE),H,2023-2023,4,4,0,83,50,20.75,137,60.58,0,1,1
864,Aryan Lakra (UAE),A,2022-2023,5,5,0,55,24,11,105,52.38,0,0,1
865,Aryan Lakra (UAE),N,2022-2023,7,7,0,249,84,35.57,426,58.45,0,3,0
866,Aryan Lakra (UAE),T,2022-2023,16,16,0,387,84,24.18,668,57.93,0,4,2
867,AS Hansra (CAN),H,2010-2013,6,5,1,60,32,15,100,60,0,0,1
868,AS Hansra (CAN),A,2011-2012,4,4,0,65,38,16.25,159,40.88,0,0,0
869,AS Hansra (CAN),N,2010-2014,14,13,3,296,70*,29.6,466,63.51,0,2,1
870,AS Hansra (CAN),T,2010-2014,24,22,4,421,70*,23.38,725,58.06,0,2,2
871,AS Joseph (WI),H,2017-2022,31,18,9,241,49,26.77,297,81.14,0,0,2
872,AS Joseph (WI),A,2017-2023,20,13,5,102,29,12.75,170,60,0,0,2
873,AS Joseph (WI),N,2016-2019,5,2,1,3,2,3,10,30,0,0,0
874,AS Joseph (WI),T,2016-2023,56,33,15,346,49,19.22,477,72.53,0,0,4
875,AS Luseno (KENYA),H,2007-2007,1,1,1,0,0*,-,1,0,0,0,0
876,AS Luseno (KENYA),A,2006-2009,6,5,4,18,8*,18,27,66.66,0,0,0
877,AS Luseno (KENYA),N,2003-2010,3,3,2,16,16*,16,22,72.72,0,0,1
878,AS Luseno (KENYA),T,2003-2010,10,9,7,34,16*,17,50,68,0,0,1
879,AS Wassan (IND),H,1990-1991,5,2,0,1,1,0.5,11,9.09,0,0,1
880,AS Wassan (IND),A,1990-1990,2,2,1,20,16,20,30,66.66,0,0,0
881,AS Wassan (IND),N,1990-1990,2,2,1,12,8*,12,15,80,0,0,0
882,AS Wassan (IND),T,1990-1991,9,6,2,33,16,8.25,56,58.92,0,0,1
883,ASA Perera (SL),H,1998-2001,16,10,1,178,56*,19.77,229,77.72,0,1,0
884,ASA Perera (SL),A,1998-1998,2,1,0,17,17,17,25,68,0,0,0
885,ASA Perera (SL),N,1998-1999,2,2,1,0,0*,0,3,0,0,0,1
886,ASA Perera (SL),T,1998-2001,20,13,2,195,56*,17.72,257,75.87,0,1,1
887,Asad Ali (PAK),A,2013-2013,4,2,0,13,11,6.5,16,81.25,0,0,0
888,Asad Ali (PAK),T,2013-2013,4,2,0,13,11,6.5,16,81.25,0,0,0
889,Asad Shafiq (PAK),H,2015-2015,3,2,0,55,39,27.5,84,65.47,0,0,0
890,Asad Shafiq (PAK),A,2010-2017,30,30,3,639,84,23.66,922,69.3,0,5,3
891,Asad Shafiq (PAK),N,2010-2014,27,26,1,642,78*,25.68,973,65.98,0,4,2
892,Asad Shafiq (PAK),T,2010-2017,60,58,4,1336,84,24.74,1979,67.5,0,9,5
893,Asghar Afghan (AFG),A,2009-2019,49,46,4,1012,90*,24.09,1535,65.92,0,5,5
894,Asghar Afghan (AFG),N,2009-2021,65,62,6,1412,101,25.21,2095,67.39,1,7,2
895,Asghar Afghan (AFG),T,2009-2021,114,108,10,2424,101,24.73,3630,66.77,1,12,7
896,Asghar Ali (UAE),A,2004-2004,1,1,0,0,0,0,5,0,0,0,1
897,Asghar Ali (UAE),N,2004-2004,1,1,0,14,14,14,48,29.16,0,0,0
898,Asghar Ali (UAE),T,2004-2004,2,2,0,14,14,7,53,26.41,0,0,1
899,Ashfaq Ahmed (PAK),A,1994-1994,3,-,-,-,-,-,-,-,-,-,-
900,Ashfaq Ahmed (PAK),T,1994-1994,3,-,-,-,-,-,-,-,-,-,-
901,Ashfaq Ahmed (UAE),H,2018-2019,7,7,0,179,92,25.57,188,95.21,0,1,1
902,Ashfaq Ahmed (UAE),A,2018-2019,5,5,0,29,10,5.8,62,46.77,0,0,0
903,Ashfaq Ahmed (UAE),N,2018-2018,4,4,0,136,50,34,137,99.27,0,1,0
904,Ashfaq Ahmed (UAE),T,2018-2019,16,16,0,344,92,21.5,387,88.88,0,2,1
905,Ashraf Ali (PAK),H,1980-1985,6,1,0,6,6,6,7,85.71,0,0,0
906,Ashraf Ali (PAK),A,1981-1984,4,3,3,37,15*,-,58,63.79,0,0,0
907,Ashraf Ali (PAK),N,1981-1985,6,5,2,26,19*,8.66,70,37.14,0,0,1
908,Ashraf Ali (PAK),T,1980-1985,16,9,5,69,19*,17.25,135,51.11,0,0,1
909,Asif Ali (PAK),H,2022-2022,1,-,-,-,-,-,-,-,-,-,-
910,Asif Ali (PAK),A,2018-2021,13,10,1,291,52,32.33,216,134.72,0,3,0
911,Asif Ali (PAK),N,2018-2019,7,6,0,91,31,15.16,98,92.85,0,0,0
912,Asif Ali (PAK),T,2018-2022,21,16,1,382,52,25.46,314,121.65,0,3,0
913,Asif Iqbal (1) (UAE),H,2015-2015,1,1,0,8,8,8,8,100,0,0,0
914,Asif Iqbal (1) (UAE),T,2015-2015,1,1,0,8,8,8,8,100,0,0,0
915,Asif Iqbal (PAK),H,1978-1978,1,1,0,62,62,62,72,86.11,0,1,0
916,Asif Iqbal (PAK),A,1973-1979,5,4,2,137,59*,68.5,222,61.71,0,2,0
917,Asif Iqbal (PAK),N,1975-1979,4,3,0,131,61,43.66,172,76.16,0,2,0
918,Asif Iqbal (PAK),T,1973-1979,10,8,2,330,62,55,466,70.81,0,5,0
919,Asif Khan (UAE),H,2022-2023,12,11,1,310,82,31,490,63.26,0,3,1
920,Asif Khan (UAE),A,2023-2023,4,4,1,249,101*,83,194,128.35,1,1,0
921,Asif Khan (UAE),N,2023-2023,7,7,1,256,103,42.66,255,100.39,1,1,0
922,Asif Khan (UAE),T,2022-2023,23,22,3,815,103,42.89,939,86.79,2,5,1
923,Asif Mahmood (PAK),H,1998-1998,2,2,0,14,14,7,34,41.17,0,0,1
924,Asif Mahmood (PAK),T,1998-1998,2,2,0,14,14,7,34,41.17,0,0,1
925,Asif Masood (PAK),H,1976-1976,1,1,0,0,0,0,2,0,0,0,1
926,Asif Masood (PAK),A,1973-1974,3,1,1,4,4*,-,8,50,0,0,0
927,Asif Masood (PAK),N,1975-1975,3,1,0,6,6,6,7,85.71,0,0,0
928,Asif Masood (PAK),T,1973-1976,7,3,1,10,6,5,17,58.82,0,0,1
929,Asif Mujtaba (PAK),H,1986-1994,7,5,0,84,61,16.8,151,55.62,0,1,2
930,Asif Mujtaba (PAK),A,1987-1996,33,28,8,623,74,31.15,900,69.22,0,4,2
931,Asif Mujtaba (PAK),N,1986-1995,26,22,6,361,113*,22.56,620,58.22,1,1,4
932,Asif Mujtaba (PAK),T,1986-1996,66,55,14,1068,113*,26.04,1671,63.91,1,6,8
933,Asim Butt (SCOT),H,1999-1999,2,2,0,11,10,5.5,13,84.61,0,0,0
934,Asim Butt (SCOT),N,1999-1999,3,2,0,12,11,6,15,80,0,0,0
935,Asim Butt (SCOT),T,1999-1999,5,4,0,23,11,5.75,28,82.14,0,0,0
936,Asim Saeed (UAE),A,2004-2004,1,1,0,0,0,0,2,0,0,0,1
937,Asim Saeed (UAE),N,2004-2004,1,1,0,12,12,12,17,70.58,0,0,0
938,Asim Saeed (UAE),T,2004-2004,2,2,0,12,12,6,19,63.15,0,0,1
939,AT Carey (AUS),H,2018-2022,20,19,4,464,85,30.93,589,78.77,0,1,1
940,AT Carey (AUS),A,2018-2023,31,29,4,832,106,33.28,954,87.21,1,2,1
941,AT Carey (AUS),N,2019-2019,13,10,3,371,85,53,353,105.09,0,4,1
942,AT Carey (AUS),T,2018-2023,64,58,11,1667,106,35.46,1896,87.92,1,7,3
943,AT Nidamanuru (NED),H,2022-2022,8,8,1,141,58*,20.14,163,86.5,0,1,1
944,AT Nidamanuru (NED),A,2023-2023,4,4,1,176,110*,58.66,198,88.88,1,0,1
945,AT Nidamanuru (NED),T,2022-2023,12,12,2,317,110*,31.7,361,87.81,1,1,2
946,AT Rayudu (IND),H,2014-2019,16,15,3,557,121*,46.41,627,88.83,2,2,0
947,AT Rayudu (IND),A,2013-2019,28,25,9,851,124*,53.18,1143,74.45,1,5,3
948,AT Rayudu (IND),N,2014-2018,11,10,2,286,60,35.75,373,76.67,0,3,0
949,AT Rayudu (IND),T,2013-2019,55,50,14,1694,124*,47.05,2143,79.04,3,10,3
950,Ata-ur-Rehman (PAK),H,1995-1995,2,1,1,6,6*,-,7,85.71,0,0,0
951,Ata-ur-Rehman (PAK),A,1993-1996,14,7,3,20,11*,5,46,43.47,0,0,1
952,Ata-ur-Rehman (PAK),N,1992-1996,14,5,2,8,4,2.66,23,34.78,0,0,1
953,Ata-ur-Rehman (PAK),T,1992-1996,30,13,6,34,11*,4.85,76,44.73,0,0,2
954,Athar Ali Khan (BAN),H,1988-1988,3,3,0,68,30,22.66,169,40.23,0,0,0
955,Athar Ali Khan (BAN),A,1990-1998,6,6,0,162,61,27,270,60,0,1,2
956,Athar Ali Khan (BAN),N,1990-1998,10,10,1,302,82,33.55,506,59.68,0,2,1
957,Athar Ali Khan (BAN),T,1988-1998,19,19,1,532,82,29.55,945,56.29,0,3,3
958,Atiq-uz-Zaman (PAK),N,2000-2000,3,3,1,34,18,17,36,94.44,0,0,0
959,Atiq-uz-Zaman (PAK),T,2000-2000,3,3,1,34,18,17,36,94.44,0,0,0
960,AU Rashid (ENG),H,2009-2022,70,32,11,451,69,21.47,408,110.53,0,1,4
961,AU Rashid (ENG),A,2009-2023,51,26,9,276,39,16.23,327,84.4,0,0,2
962,AU Rashid (ENG),N,2015-2015,4,1,0,7,7,7,13,53.84,0,0,0
963,AU Rashid (ENG),T,2009-2023,125,59,20,734,69,18.82,748,98.12,0,1,6
964,AV Kale (IND),A,2003-2003,1,1,0,10,10,10,22,45.45,0,0,0
965,AV Kale (IND),T,2003-2003,1,1,0,10,10,10,22,45.45,0,0,0
966,AV Lalcheta (OMA),A,2019-2019,1,1,0,6,6,6,22,27.27,0,0,0
967,AV Lalcheta (OMA),N,2019-2019,1,1,0,12,12,12,25,48,0,0,0
968,AV Lalcheta (OMA),T,2019-2019,2,2,0,18,12,9,47,38.29,0,0,0
969,AV Mankad (IND),A,1974-1974,1,1,0,44,44,44,61,72.13,0,0,0
970,AV Mankad (IND),T,1974-1974,1,1,0,44,44,44,61,72.13,0,0,0
971,AV Vadher (KENYA),H,1997-1999,8,7,2,104,42*,20.8,200,52,0,0,1
972,AV Vadher (KENYA),A,1998-1999,3,2,1,19,13*,19,34,55.88,0,0,0
973,AV Vadher (KENYA),N,1998-1999,7,7,3,155,73*,38.75,278,55.75,0,2,0
974,AV Vadher (KENYA),T,1997-1999,18,16,6,278,73*,27.8,512,54.29,0,2,1
975,Avesh Khan (IND),H,2022-2022,3,1,0,3,3,3,6,50,0,0,0
976,Avesh Khan (IND),A,2022-2022,2,1,0,10,10,10,12,83.33,0,0,0
977,Avesh Khan (IND),T,2022-2022,5,2,0,13,10,6.5,18,72.22,0,0,0
978,AW Greig (ENG),H,1972-1977,20,18,3,266,48,17.73,377,70.55,0,0,1
979,AW Greig (ENG),A,1975-1975,2,1,0,3,3,3,1,300,0,0,0
980,AW Greig (ENG),T,1972-1977,22,19,3,269,48,16.81,378,71.16,0,0,1
981,AW Hawkins-Kay (JER),N,2023-2023,1,1,0,7,7,7,15,46.66,0,0,0
982,AW Hawkins-Kay (JER),T,2023-2023,1,1,0,7,7,7,15,46.66,0,0,0
983,AW Mathieson (NZ),A,2015-2015,1,1,1,0,0*,-,0,-,0,0,0
984,AW Mathieson (NZ),T,2015-2015,1,1,1,0,0*,-,0,-,0,0,0
985,AY Karim (KENYA),H,1996-1997,9,6,0,93,53,15.5,131,70.99,0,1,1
986,AY Karim (KENYA),A,1996-2003,9,6,3,50,16*,16.66,69,72.46,0,0,0
987,AY Karim (KENYA),N,1996-2003,16,12,3,85,22,9.44,175,48.57,0,0,4
988,AY Karim (KENYA),T,1996-2003,34,24,6,228,53,12.66,375,60.8,0,1,5
989,Ayaan Khan (OMA),H,2021-2022,11,10,0,265,77,26.5,444,59.68,0,1,0
990,Ayaan Khan (OMA),A,2021-2023,7,6,0,250,83,41.66,315,79.36,0,2,0
991,Ayaan Khan (OMA),N,2022-2023,9,8,1,171,68,24.42,214,79.9,0,2,2
992,Ayaan Khan (OMA),T,2021-2023,27,24,1,686,83,29.82,973,70.5,0,5,2
993,Azam Khan (PAK),H,1996-1998,3,2,0,75,72,37.5,81,92.59,0,1,0
994,Azam Khan (PAK),N,1996-1996,3,3,0,41,22,13.66,96,42.7,0,0,0
995,Azam Khan (PAK),T,1996-1998,6,5,0,116,72,23.2,177,65.53,0,1,0
996,Azeem Hafeez (PAK),A,1983-1985,8,6,3,35,15,11.66,58,60.34,0,0,1
997,Azeem Hafeez (PAK),N,1984-1985,7,4,4,10,7*,-,46,21.73,0,0,0
998,Azeem Hafeez (PAK),T,1983-1985,15,10,7,45,15,15,104,43.26,0,0,1
999,Azhar Ali (PAK),H,2015-2015,3,3,0,227,102,75.66,239,94.97,1,1,0
1000,Azhar Ali (PAK),A,2011-2018,33,33,1,1061,101,33.15,1488,71.3,1,7,2
1001,Azhar Ali (PAK),N,2012-2017,17,17,2,557,101,37.13,751,74.16,1,4,1
1002,Azhar Ali (PAK),T,2011-2018,53,53,3,1845,102,36.9,2478,74.45,3,12,3
1003,Azhar Hossain (BAN),H,1988-1988,3,3,0,14,10,4.66,52,26.92,0,0,0
1004,Azhar Hossain (BAN),A,1990-1990,1,1,0,13,13,13,50,26,0,0,0
1005,Azhar Hossain (BAN),N,1990-1990,3,3,0,69,54,23,164,42.07,0,1,0
1006,Azhar Hossain (BAN),T,1988-1990,7,7,0,96,54,13.71,266,36.09,0,1,0
1007,Azhar Mahmood (PAK),H,1996-2003,18,11,7,185,65*,46.25,218,84.86,0,2,0
1008,Azhar Mahmood (PAK),A,1997-2007,49,40,9,542,43*,17.48,683,79.35,0,0,3
1009,Azhar Mahmood (PAK),N,1996-2007,76,59,10,794,67,16.2,1087,73.04,0,1,6
1010,Azhar Mahmood (PAK),T,1996-2007,143,110,26,1521,67,18.1,1988,76.5,0,3,9
1011,Azhar Saeed (UAE),H,1994-1994,2,2,0,3,3,1.5,20,15,0,0,1
1012,Azhar Saeed (UAE),A,1996-1996,1,1,0,1,1,1,13,7.69,0,0,0
1013,Azhar Saeed (UAE),N,1996-1996,4,4,0,57,32,14.25,162,35.18,0,0,0
1014,Azhar Saeed (UAE),T,1994-1996,7,7,0,61,32,8.71,195,31.28,0,0,1
1015,Azmat Rana (PAK),H,1978-1978,2,2,1,42,22*,42,73,57.53,0,0,0
1016,Azmat Rana (PAK),T,1978-1978,2,2,1,42,22*,42,73,57.53,0,0,0
1017,Azmatullah Omarzai (AFG),A,2022-2022,5,2,0,18,9,9,31,58.06,0,0,0
1018,Azmatullah Omarzai (AFG),N,2021-2022,2,2,1,17,15*,17,25,68,0,0,0
1019,Azmatullah Omarzai (AFG),T,2021-2022,7,4,1,35,15*,11.66,56,62.5,0,0,0
1020,B Arun (IND),H,1986-1986,1,1,0,8,8,8,12,66.66,0,0,0
1021,B Arun (IND),N,1987-1987,3,2,1,13,7*,13,20,65,0,0,0
1022,B Arun (IND),T,1986-1987,4,3,1,21,8,10.5,32,65.62,0,0,0
1023,B Bhandari (NEPAL),H,2020-2020,4,3,0,120,59,40,151,79.47,0,1,0
1024,B Bhandari (NEPAL),A,2019-2022,7,6,0,66,21,11,127,51.96,0,0,0
1025,B Bhandari (NEPAL),N,2021-2022,6,5,0,89,37,17.8,183,48.63,0,0,0
1026,B Bhandari (NEPAL),T,2019-2022,17,14,0,275,59,19.64,461,59.65,0,1,0
1027,B Evans (ZIM),H,2022-2023,10,8,1,95,33*,13.57,113,84.07,0,0,1
1028,B Evans (ZIM),A,2022-2022,3,3,1,9,5,4.5,18,50,0,0,0
1029,B Evans (ZIM),T,2022-2023,13,11,2,104,33*,11.55,131,79.38,0,0,1
1030,B Fernando (SL),A,2021-2021,4,3,0,26,17,8.66,36,72.22,0,0,0
1031,B Fernando (SL),T,2021-2021,4,3,0,26,17,8.66,36,72.22,0,0,0
1032,B Geeves (AUS),H,2008-2008,1,1,1,0,0*,-,0,-,0,0,0
1033,B Geeves (AUS),A,2009-2009,1,1,1,10,10*,-,11,90.9,0,0,0
1034,B Geeves (AUS),T,2008-2009,2,2,2,10,10*,-,11,90.9,0,0,0
1035,B Kumar (IND),H,2012-2021,44,22,5,256,46,15.05,332,77.1,0,0,3
1036,B Kumar (IND),A,2013-2022,50,24,9,258,53*,17.2,334,77.24,0,1,2
1037,B Kumar (IND),N,2013-2019,27,9,2,38,21,5.42,81,46.91,0,0,3
1038,B Kumar (IND),T,2012-2022,121,55,16,552,53*,14.15,747,73.89,0,1,8
1039,B Laughlin (AUS),A,2009-2009,3,1,1,1,1*,-,9,11.11,0,0,0
1040,B Laughlin (AUS),N,2009-2009,2,-,-,-,-,-,-,-,-,-,-
1041,B Laughlin (AUS),T,2009-2009,5,1,1,1,1*,-,9,11.11,0,0,0
1042,B Lee (AUS),H,2000-2012,95,49,17,576,57,18,744,77.41,0,2,8
1043,B Lee (AUS),A,2000-2012,86,47,22,476,59,19.04,512,92.96,0,1,7
1044,B Lee (AUS),N,2000-2011,40,14,5,124,31,13.77,151,82.11,0,0,1
1045,B Lee (AUS),T,2000-2012,221,110,44,1176,59,17.81,1407,83.58,0,3,16
1046,B Mavuta (ZIM),H,2019-2023,4,-,-,-,-,-,-,-,-,-,-
1047,B Mavuta (ZIM),A,2018-2018,5,5,1,52,20,13,47,110.63,0,0,1
1048,B Mavuta (ZIM),T,2018-2023,9,5,1,52,20,13,47,110.63,0,0,1
1049,B McMullen (SCOT),A,2022-2023,4,4,1,140,56,46.66,182,76.92,0,1,0
1050,B McMullen (SCOT),N,2022-2023,4,2,1,36,32*,36,44,81.81,0,0,0
1051,B McMullen (SCOT),T,2022-2023,8,6,2,176,56,44,226,77.87,0,1,0
