ID,Player,Location,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
177,AA Donald (SA),T,1991-2003,164,40,18,95,13,4.31,279,34.05,0,0,12
178,AA Donald (SA),BIS,1991-2002,20,4,2,6,5*,3,37,16.21,0,0,2
179,AA Donald (SA),SENA,1992-2003,117,26,11,75,13,5,204,36.76,0,0,6
180,AA Mallett (AUS),H,1971-1975,2,-,-,-,-,-,-,-,-,-,-
181,AA Mallett (AUS),A,1972-1974,4,2,1,14,8,14,35,40,0,0,0
182,AA Mallett (AUS),N,1975-1975,3,1,0,0,0,0,1,0,0,0,1
183,AA Mallett (AUS),T,1971-1975,9,3,1,14,8,7,36,38.88,0,0,1
184,AA Mallett (AUS),SENA,1971-1975,9,3,1,14,8,7,36,38.88,0,0,1
185,AA Mulla (CAN),H,2007-2008,4,4,0,45,15,11.25,88,51.13,0,0,0
186,AA Mulla (CAN),A,2007-2009,5,5,0,37,25,7.4,31,119.35,0,0,1
187,AA Mulla (CAN),N,2006-2009,15,15,0,400,58,26.66,476,84.03,0,1,1
188,AA Mulla (CAN),T,2006-2009,24,24,0,482,58,20.08,595,81,0,1,2
189,AA Mulla (CAN),SENA,2006-2009,4,4,0,86,36,21.5,108,79.62,0,0,0
190,AA Noffke (AUS),H,2008-2008,1,-,-,-,-,-,-,-,-,-,-
191,AA Noffke (AUS),T,2008-2008,1,-,-,-,-,-,-,-,-,-,-
192,AA Noffke (AUS),SENA,2008-2008,1,-,-,-,-,-,-,-,-,-,-
193,AA Obanda (KENYA),H,2007-2012,15,13,2,588,96*,53.45,788,74.61,0,6,0
194,AA Obanda (KENYA),A,2008-2013,19,17,0,391,65,23,566,69.08,0,2,1
195,AA Obanda (KENYA),N,2009-2014,15,15,0,327,89,21.8,410,79.75,0,1,1
196,AA Obanda (KENYA),T,2007-2014,49,45,2,1306,96*,30.37,1764,74.03,0,9,2
197,AA Obanda (KENYA),BIS,2011-2011,3,3,0,43,23,14.33,65,66.15,0,0,0
198,AA Obanda (KENYA),SENA,2008-2014,6,6,0,170,89,28.33,206,82.52,0,1,1
199,AA Paradkar (USA),N,2021-2021,2,2,1,15,13*,15,15,100,0,0,0
200,AA Paradkar (USA),T,2021-2021,2,2,1,15,13*,15,15,100,0,0,0
201,AA Shafique (OMA),A,2023-2023,1,1,0,13,13,13,33,39.39,0,0,0
202,AA Shafique (OMA),N,2023-2023,1,-,-,-,-,-,-,-,-,-,-
203,AA Shafique (OMA),T,2023-2023,2,1,0,13,13,13,33,39.39,0,0,0
204,Aamer Hameed (PAK),H,1977-1978,2,-,-,-,-,-,-,-,-,-,-
205,Aamer Hameed (PAK),T,1977-1978,2,-,-,-,-,-,-,-,-,-,-
206,Aamer Hanif (PAK),H,1995-1995,3,2,1,55,36*,55,67,82.08,0,0,0
207,Aamer Hanif (PAK),N,1993-1995,2,2,1,34,17*,34,61,55.73,0,0,0
208,Aamer Hanif (PAK),T,1993-1995,5,4,2,89,36*,44.5,128,69.53,0,0,0
209,Aamer Malik (PAK),H,1994-1994,1,1,0,20,20,20,34,58.82,0,0,0
210,Aamer Malik (PAK),A,1988-1990,13,13,0,246,90,18.92,495,49.69,0,2,1
211,Aamer Malik (PAK),N,1988-1989,10,9,1,290,77,36.25,460,63.04,0,3,0
212,Aamer Malik (PAK),T,1988-1994,24,23,1,556,90,25.27,989,56.21,0,5,1
213,Aamer Malik (PAK),BIS,1988-1989,7,6,1,163,77,32.6,257,63.42,0,2,0
214,Aamer Malik (PAK),SENA,1989-1990,12,12,0,321,90,26.75,599,53.58,0,3,1
215,Aamer Nazir (PAK),H,1993-1993,1,-,-,-,-,-,-,-,-,-,-
216,Aamer Nazir (PAK),A,1993-1995,5,2,1,4,3,4,4,100,0,0,0
217,Aamer Nazir (PAK),N,1993-1995,3,1,1,9,9*,-,16,56.25,0,0,0
218,Aamer Nazir (PAK),T,1993-1995,9,3,2,13,9*,13,20,65,0,0,0
219,Aamer Sohail (PAK),H,1991-2000,29,29,1,886,111,31.64,1249,70.93,1,6,2
